City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bubaque,11.2833,-15.8333,78.84,61,0,15.41,GW,1614457004
faya,18.3851,42.4509,57.2,67,0,4.61,SA,1614457004
hermanus,-34.4187,19.2345,68.0,79,0,5.01,ZA,1614457005
hobyo,5.3505,48.5268,77.99,78,67,16.28,SO,1614457005
omsukchan,62.5333,155.8,-27.98,83,12,1.9,RU,1614457005
nevesinje,43.2586,18.1133,55.4,38,0,24.16,BA,1614457006
nanortalik,60.1432,-45.2371,22.8,89,71,28.41,GL,1614457006
vilani,56.5525,26.9245,32.25,97,93,7.38,LV,1614457006
wittstock,53.1612,12.4829,36.0,81,0,3.0,DE,1614457006
carmen,18.6333,-91.8333,89.6,51,40,13.8,MX,1614457007
tsuyama,35.05,134.0,30.99,91,98,1.99,JP,1614457007
illela,13.7292,5.2975,82.94,10,0,8.5,NG,1614457007
chipinge,-20.1883,32.6236,60.64,98,100,4.88,ZW,1614457007
norman wells,65.282,-126.8329,-22.0,69,20,8.05,CA,1614457007
nago,26.5881,127.9761,68.0,83,1,7.58,JP,1614457008
longyearbyen,78.2186,15.6401,17.6,73,75,4.61,SJ,1614457008
pisco,-13.7,-76.2167,77.0,69,0,6.91,PE,1614457008
parry sound,45.3501,-80.033,36.0,86,78,11.18,CA,1614456760
teguise,29.0605,-13.564,62.6,67,40,3.44,ES,1614457008
sorong,-0.8833,131.25,82.15,80,51,13.49,ID,1614457009
alice town,25.7167,-79.3,76.91,75,0,17.83,BS,1614457009
hanyang,32.1371,105.5126,30.99,99,100,14.0,CN,1614457009
petrov val,50.1434,45.2096,21.63,94,81,17.27,RU,1614457009
aran,40.6253,46.9756,35.6,87,0,4.61,AZ,1614457009
aklavik,68.2191,-135.0107,-25.6,75,20,4.61,CA,1614457009
new norfolk,-42.7826,147.0587,52.0,76,54,1.43,AU,1614457009
show low,34.2542,-110.0298,51.8,13,1,20.71,US,1614457010
esperance,-33.8667,121.9,60.8,94,90,5.75,AU,1614457010
takoradi,4.8845,-1.7554,79.95,84,26,7.36,GH,1614457010
bulanash,57.2783,61.9965,0.7,95,100,9.35,RU,1614457010
calama,-22.4667,-68.9333,77.0,33,0,25.32,CL,1614457011
yaan,7.3833,8.5667,86.29,17,0,5.14,NG,1614457011
port hedland,-20.3167,118.5667,78.8,89,17,9.22,AU,1614457011
maningrida,-12.0667,134.2667,78.06,87,100,5.17,AU,1614457011
hasaki,35.7333,140.8333,24.8,80,20,5.75,JP,1614457012
fort nelson,58.8053,-122.7002,6.8,66,75,5.75,CA,1614457012
kuala terengganu,5.3302,103.1408,77.0,94,20,3.44,MY,1614456915
antofagasta,-23.65,-70.4,71.6,68,20,14.97,CL,1614456726
kyra,49.5776,111.9753,-12.42,81,0,4.05,RU,1614457012
malm,64.0721,11.2172,45.0,87,75,14.97,NO,1614457012
san carlos de bariloche,-41.1456,-71.3082,84.99,17,75,25.32,AR,1614457012
lebu,-37.6167,-73.65,61.66,73,16,19.69,CL,1614457012
fenelon falls,44.5334,-78.7496,37.4,80,86,17.27,CA,1614457013
faanui,-16.4833,-151.75,82.9,70,10,8.77,PF,1614457013
yellowknife,62.456,-114.3525,-22.0,57,20,9.22,CA,1614456728
stephenville,32.2207,-98.2023,66.99,94,90,11.5,US,1614457013
macusani,-14.0833,-70.4333,44.51,83,97,7.99,PE,1614457013
san cristobal,7.7669,-72.225,73.4,100,40,6.91,VE,1614457013
souillac,-20.5167,57.5167,78.8,78,40,11.5,MU,1614457014
akureyri,65.6835,-18.0878,41.0,65,20,19.57,IS,1614457014
westport,41.1415,-73.3579,48.99,93,90,5.75,US,1614457014
makakilo city,21.3469,-158.0858,77.0,65,20,6.91,US,1614457015
huilong,31.8111,121.655,52.0,99,100,1.99,CN,1614457015
kananga,-5.8958,22.4178,70.77,93,97,2.91,CD,1614457015
zaysan,47.4667,84.8667,-1.97,89,99,0.47,KZ,1614457015
komsomolskiy,40.4272,71.7189,30.2,80,0,4.61,UZ,1614457015
qaqortoq,60.7167,-46.0333,24.8,54,20,28.77,GL,1614457016
kodiak,57.79,-152.4072,39.2,87,90,0.89,US,1614456745
diu,20.7141,70.9822,74.89,58,0,10.36,IN,1614457016
taoudenni,22.6783,-3.9836,67.73,22,0,2.28,ML,1614457016
norton,-17.8833,30.7,61.0,92,99,4.0,ZW,1614457016
severo-kurilsk,50.6789,156.125,25.23,94,100,29.8,RU,1614457017
nyurba,63.2842,118.3319,-18.49,95,100,5.77,RU,1614457017
lardos,36.0942,28.0157,59.0,82,20,9.22,GR,1614457017
dakar,14.6937,-17.4441,68.0,68,30,4.61,SN,1614457017
lapithos,35.3375,33.1792,51.8,82,0,6.91,CY,1614457018
huallanca,-9.8993,-76.9417,59.56,48,97,6.6,PE,1614457018
codrington,-38.2667,141.9667,50.63,89,0,2.75,AU,1614457018
oskaloosa,41.2964,-92.6444,51.8,66,1,9.22,US,1614457018
masunga,-20.6246,27.4488,64.4,94,75,10.36,BW,1614457018
ambilobe,-13.2,49.05,74.68,95,100,2.55,MG,1614457018
mzimba,-11.9,33.6,62.31,90,87,1.48,MW,1614457019
honningsvag,70.9821,25.9704,31.8,97,100,13.44,NO,1614457019
port lincoln,-34.7333,135.8667,60.69,85,72,9.33,AU,1614456779
dogondoutchi,13.6393,4.0287,80.38,15,0,6.8,NE,1614457019
tuktoyaktuk,69.4541,-133.0374,-27.4,68,75,5.75,CA,1614457020
patrocinio,-18.9439,-46.9925,68.0,100,93,8.57,BR,1614456762
butaritari,3.0707,172.7902,80.64,78,78,14.16,KI,1614457020
samarai,-10.6167,150.6667,81.72,79,98,13.53,PG,1614457020
katsuura,35.1333,140.3,35.6,60,20,9.22,JP,1614457020
bonthe,7.5264,-12.505,79.63,82,0,7.94,SL,1614457021
bagan,54.1001,77.6646,-19.05,88,5,8.84,RU,1614457021
clyde river,70.4692,-68.5914,-5.8,77,90,5.75,CA,1614457021
provideniya,64.3833,-173.3,-7.6,64,0,4.47,RU,1614457021
nacala,-14.5428,40.6728,75.06,90,87,3.67,MZ,1614457022
sorland,67.667,12.6934,42.76,83,96,24.74,NO,1614457022
bethel,41.3712,-73.414,48.2,87,90,3.44,US,1614457022
terekli-mekteb,44.1671,45.8698,42.15,84,65,8.57,RU,1614457022
dwarka,22.2394,68.9678,74.21,89,0,9.04,IN,1614457022
mehamn,71.0357,27.8492,28.99,79,100,6.51,NO,1614457022
college,64.8569,-147.8028,12.0,78,90,3.44,US,1614457023
lagoa,39.05,-27.9833,59.34,84,95,15.19,PT,1614457023
madang,-5.2246,145.7966,76.42,90,100,7.74,PG,1614457023
lamu,-2.2717,40.902,77.61,86,0,12.62,KE,1614457023
iskateley,67.6803,53.1512,3.61,94,100,12.75,RU,1614457023
pocri,8.2667,-80.55,86.0,66,40,13.8,PA,1614457023
geraldton,-28.7667,114.6,62.6,82,0,8.57,AU,1614457024
elbasan,41.1125,20.0822,51.8,93,0,2.3,AL,1614457024
rio grande,-32.035,-52.0986,80.6,57,40,19.57,BR,1614457024
karratha,-20.7377,116.8463,80.2,70,27,15.5,AU,1614457024
hithadhoo,-0.6,73.0833,82.78,63,88,6.51,MV,1614457024
muli,2.9167,73.5667,81.68,69,100,6.62,MV,1614457025
salinopolis,-0.6136,-47.3561,79.18,87,100,11.01,BR,1614457025
hofn,64.2539,-15.2082,44.44,88,100,29.73,IS,1614457025
port blair,11.6667,92.75,75.42,73,0,4.85,IN,1614457025
saint-pierre,-21.3393,55.4781,80.6,74,75,2.3,RE,1614457025
kalamazoo,42.2506,-85.55,48.2,61,1,12.66,US,1614456899
cabo san lucas,22.8909,-109.9124,75.2,60,90,10.36,MX,1614457026
sola,-13.8833,167.55,81.86,79,100,17.83,VU,1614457026
nanjing,32.0617,118.7778,50.0,100,90,8.95,CN,1614457026
clarence town,-32.5833,151.7833,70.0,100,90,9.22,AU,1614457026
pangai,-19.8,-174.35,77.09,79,99,2.73,TO,1614457026
sonoita,31.85,-112.8333,70.0,12,39,11.1,MX,1614457027
pitimbu,-7.4706,-34.8086,78.8,89,20,6.91,BR,1614457027
sault sainte marie,46.5168,-84.3333,44.6,53,75,8.05,CA,1614457027
sapulpa,35.9987,-96.1142,62.6,51,90,12.66,US,1614457027
alamosa,37.4695,-105.87,39.2,22,20,26.46,US,1614457027
ibra,22.6906,58.5334,61.18,84,0,1.07,OM,1614457028
yeppoon,-23.1333,150.7333,78.8,83,40,8.05,AU,1614457028
kaka,37.3482,59.6143,39.18,56,0,7.31,TM,1614457028
port hardy,50.6996,-127.4199,39.2,87,90,5.75,CA,1614456908
vredendal,-31.6683,18.5012,70.57,55,0,8.59,ZA,1614457028
tallahassee,30.4383,-84.2807,82.0,54,40,13.8,US,1614456763
klaksvik,62.2266,-6.589,46.4,87,90,13.8,FO,1614457029
senno,59.5336,33.9167,32.0,93,100,1.99,RU,1614457029
ribeira grande,38.5167,-28.7,60.8,94,75,11.5,PT,1614457029
ongandjera,-17.8833,15.0667,79.56,44,1,10.04,NA,1614457029
sinjai,-5.1241,120.253,77.25,79,100,5.53,ID,1614457030
pevek,69.7008,170.3133,-27.11,95,7,4.0,RU,1614457030
necochea,-38.5473,-58.7368,90.0,29,0,21.0,AR,1614457030
narsaq,60.9167,-46.05,24.8,54,20,28.77,GL,1614457030
along,28.1667,94.7667,58.1,81,87,1.83,IN,1614457030
nishihara,26.1842,127.7558,69.8,78,20,9.22,JP,1614457030
shugurovo,54.5083,52.1326,21.31,97,96,6.73,RU,1614457031
vitim,59.4511,112.5578,-15.25,86,100,4.59,RU,1614456733
arlit,18.7369,7.3853,74.3,17,0,14.29,NE,1614457031
balykshi,47.0667,51.8667,35.6,100,90,15.66,KZ,1614457031
ancud,-41.8697,-73.8203,66.2,63,20,5.75,CL,1614457031
tolaga bay,-38.3667,178.3,65.79,69,44,2.42,NZ,1614457032
tilichiki,60.4667,166.1,-21.77,94,99,11.05,RU,1614457032
hisar,29.1667,75.7167,64.2,25,0,0.74,IN,1614457032
nambour,-26.6333,152.95,75.99,98,86,1.32,AU,1614457032
floriano,-6.7669,-43.0225,80.92,76,100,3.56,BR,1614457032
puro,12.4841,123.3827,79.03,86,56,11.27,PH,1614457033
tezu,27.9167,96.1667,66.25,50,78,3.18,IN,1614457033
terrace,54.5163,-128.6035,33.8,93,90,19.57,CA,1614457033
san jose,37.3394,-121.895,60.01,35,1,13.8,US,1614457011
mizdah,31.4451,12.9801,55.36,43,0,5.1,LY,1614457033
banda aceh,5.5577,95.3222,76.08,78,0,6.13,ID,1614457034
ola,59.5833,151.2833,-4.77,83,85,9.46,RU,1614457034
srednekolymsk,67.45,153.6833,-32.48,100,33,0.98,RU,1614456735
upernavik,72.7868,-56.1549,7.11,94,100,23.8,GL,1614457034
marsa matruh,31.3525,27.2453,59.0,72,20,4.61,EG,1614457035
moyo,3.6609,31.7247,75.67,35,4,4.07,UG,1614457035
vestmannaeyjar,63.4427,-20.2734,44.6,76,90,28.77,IS,1614456760
perigueux,45.1833,0.7167,46.0,60,0,5.01,FR,1614457035
ramanuj ganj,23.8,83.7,66.61,32,0,4.16,IN,1614457035
hambantota,6.1241,81.1185,78.06,81,30,1.3,LK,1614457036
adrar,20.5022,-10.0711,66.54,25,0,9.98,MR,1614457036
sinjar,36.3209,41.8754,49.59,52,0,1.19,IQ,1614457036
evanston,42.0411,-87.6901,51.8,53,40,6.91,US,1614456992
havelock,34.8791,-76.9013,77.0,57,1,12.66,US,1614456946
nushki,29.5542,66.0215,46.85,49,0,3.98,PK,1614457037
taltal,-25.4,-70.4833,72.48,63,23,7.34,CL,1614457037
pajapan,18.25,-94.7,91.4,49,20,3.44,MX,1614457037
coihaique,-45.5752,-72.0662,63.68,78,100,7.96,CL,1614457037
syasstroy,60.1367,32.5691,29.86,95,100,7.72,RU,1614457037
besikduzu,41.052,39.2284,44.6,76,0,5.75,TR,1614457037
la palma,33.8464,-118.0467,68.0,63,1,5.75,US,1614457038
digby,44.6169,-65.7655,37.99,64,100,8.05,CA,1614457038
san patricio,28.017,-97.5169,78.8,73,40,17.27,US,1614457038
olinda,-8.0089,-34.8553,77.0,78,75,8.05,BR,1614457038
ayan,56.45,138.1667,-1.93,91,100,12.62,RU,1614457038
shingu,33.7333,135.9833,49.15,78,100,11.99,JP,1614457039
mahibadhoo,3.7833,72.9667,81.55,72,84,8.1,MV,1614457039
caravelas,-17.7125,-39.2481,80.2,71,99,6.8,BR,1614457039
marigot,18.0667,-63.0833,80.6,65,40,17.27,MF,1614457039
mahebourg,-20.4081,57.7,78.8,78,40,11.5,MU,1614457039
nurota,40.5614,65.6886,33.8,40,0,4.61,UZ,1614457040
kavaratti,10.5669,72.642,81.93,73,0,10.65,IN,1614457040
shuya,56.8487,41.3883,7.32,95,79,5.19,RU,1614457040
tautira,-17.7333,-149.15,84.2,70,75,10.36,PF,1614457040
ponta do sol,32.6667,-17.1,55.99,66,65,3.0,PT,1614457041
dongobesh,-4.0667,35.3833,58.59,71,100,1.34,TZ,1614457041
griffith,41.5284,-87.4237,48.99,75,1,11.5,US,1614457041
nicoya,10.1483,-85.452,87.8,48,40,25.32,CR,1614457041
owando,-0.4819,15.8999,77.79,66,15,1.39,CG,1614457041
ordzhonikidze,52.4411,61.7408,17.78,97,100,11.18,KZ,1614457042
vore,41.3908,19.655,44.6,93,0,2.3,AL,1614457042
kangaatsiaq,68.3065,-53.4641,10.96,94,100,9.44,GL,1614457042
akyab,20.15,92.9,69.96,93,4,5.41,MM,1614457042
moranbah,-22.0016,148.0466,73.89,86,100,12.66,AU,1614457042
hami,42.8,93.45,25.36,69,100,5.17,CN,1614457042
alofi,-19.0595,-169.9187,44.6,100,90,11.5,NU,1614456915
bijie,27.3125,105.2942,48.74,91,73,3.6,CN,1614457042
ixtapa,20.7,-105.2,77.0,78,1,12.66,MX,1614457042
beringovskiy,63.05,179.3167,-21.95,79,0,9.8,RU,1614457043
las palmas,28.4204,-14.0131,62.6,59,20,9.22,ES,1614457043
nouadhibou,20.931,-17.0347,64.4,63,0,20.71,MR,1614457043
ballina,-28.8667,153.5667,73.4,100,75,3.44,AU,1614457043
itarema,-2.9248,-39.9167,81.86,71,6,12.82,BR,1614456882
padang,-0.9492,100.3543,73.4,94,20,1.14,ID,1614457028
airai,-8.9266,125.4092,58.95,94,71,1.74,TL,1614457044
enshi,30.3,109.4833,47.53,83,100,0.16,CN,1614457044
yulara,-25.2406,130.9889,68.0,28,0,4.61,AU,1614457044
berlevag,70.8578,29.0864,28.96,78,100,9.31,NO,1614457044
lashio,22.9333,97.75,55.36,56,0,1.86,MM,1614456910
xichang,27.8964,102.2634,54.34,60,84,4.34,CN,1614457044
bandarbeyla,9.4942,50.8122,76.53,77,21,14.07,SO,1614457045
lewistown,40.5992,-77.5714,50.0,100,90,4.61,US,1614457045
never,46.9896,3.159,41.0,67,0,3.0,FR,1614457045
guatire,10.4762,-66.5427,86.0,66,20,5.75,VE,1614457045
emerald,-23.5333,148.1667,77.0,78,100,8.05,AU,1614457045
taybad,34.74,60.7756,36.46,58,0,6.51,IR,1614457046
mindelo,16.8901,-24.9804,69.8,64,75,21.85,CV,1614457046
kutum,14.2,24.6667,66.34,19,0,7.0,SD,1614457046
lichuan,30.3,108.85,39.16,94,100,3.8,CN,1614457046
yichun,47.7,128.9,20.28,97,100,7.61,CN,1614457047
glomfjord,66.8167,13.9667,41.0,93,75,24.16,NO,1614457047
rayachoti,14.05,78.75,74.59,46,0,4.63,IN,1614457047
narasannapeta,18.4167,84.05,72.79,92,0,3.31,IN,1614457048
ugoofaaru,5.6667,73.0,82.2,73,17,6.24,MV,1614457048
sauda,59.6506,6.3542,41.0,93,100,1.99,NO,1614457048
ilulissat,69.2167,-51.1,12.2,85,75,12.66,GL,1614457048
constitucion,-35.3333,-72.4167,70.45,53,7,17.09,CL,1614457048
buala,-8.145,159.5921,76.42,90,100,14.63,SB,1614457048
bouna,9.2667,-3.0,81.91,13,0,3.24,CI,1614457048
broome,42.2506,-75.833,46.0,75,75,14.97,US,1614457049
port hawkesbury,45.6169,-61.3485,30.2,47,1,12.66,CA,1614457049
gofitskoye,45.0792,43.0464,38.88,82,94,11.56,RU,1614457049
tahoua,14.8888,5.2692,82.4,12,0,4.61,NE,1614457049
aksu,41.1231,80.2644,28.0,91,100,2.84,CN,1614457049
sisimiut,66.9395,-53.6735,15.12,92,100,21.14,GL,1614457049
rokytne,51.2796,27.214,35.08,90,100,10.58,UA,1614457050
camalu,30.85,-116.0667,66.0,34,0,10.0,MX,1614457050
muros,42.7762,-9.0603,55.99,71,3,5.01,ES,1614457050
corumba,-19.0092,-57.6533,93.2,49,40,6.91,BR,1614457050
cabedelo,-6.9811,-34.8339,78.8,89,20,6.91,BR,1614457050
tazovskiy,67.4667,78.7,-30.77,84,45,6.67,RU,1614457051
hojai,26.0,92.8667,66.02,48,8,4.12,IN,1614457051
pahrump,36.2083,-115.9839,57.0,17,0,8.01,US,1614457051
cururupu,-1.8283,-44.8683,79.23,87,96,4.54,BR,1614457051
itoman,26.1247,127.6694,69.8,78,20,9.22,JP,1614457051
poronaysk,49.2167,143.1167,12.42,95,100,5.93,RU,1614457051
tornio,65.8481,24.1466,32.0,100,90,9.22,FI,1614457052
lavrentiya,65.5833,-171.0,-18.04,83,0,11.9,RU,1614457052
amarante,-6.2411,-42.8547,78.93,82,100,1.72,BR,1614457052
husavik,66.0449,-17.3389,41.0,65,20,19.57,IS,1614457052
tonj,7.2737,28.6822,82.04,16,53,3.91,SS,1614457053
krasnoselkup,65.7,82.4667,-30.5,84,0,4.83,RU,1614457053
nome,64.5011,-165.4064,-7.6,64,1,4.61,US,1614457053
lodja,-3.4833,23.4333,74.91,76,25,0.74,CD,1614457054
yumen,40.2833,97.2,23.47,26,100,13.18,CN,1614457054
kudahuvadhoo,2.6708,72.8944,81.57,69,36,7.0,MV,1614457054
vardo,70.3705,31.1107,30.96,79,100,13.98,NO,1614457054
kotma,23.2,81.9667,68.18,26,0,0.25,IN,1614457054
nchelenge,-9.3451,28.734,71.4,74,38,2.89,ZM,1614457054
magadan,59.5667,150.8,-4.27,67,78,9.93,RU,1614457054
paulo afonso,-9.4061,-38.2147,89.58,40,72,11.54,BR,1614456940
pauini,-7.7136,-66.9764,83.57,75,97,0.22,BR,1614457055
moron,-34.6534,-58.6198,87.01,45,14,7.0,AR,1614457015
fasa,28.9383,53.6482,42.8,70,0,0.94,IR,1614457055
kamyshin,50.0983,45.416,26.33,94,99,15.39,RU,1614457055
matam,15.6175,-13.3303,87.8,20,0,2.3,SN,1614457056
kruisfontein,-34.0033,24.7314,70.0,82,73,3.0,ZA,1614457056
yamada,39.4667,141.95,27.3,88,0,4.63,JP,1614457056
waingapu,-9.6567,120.2641,76.91,83,100,5.99,ID,1614457056
lisakovsk,52.5369,62.4936,19.17,94,100,14.92,KZ,1614457056
labuhan,-6.8844,112.2051,77.68,81,99,5.73,ID,1614457057
mount isa,-20.7333,139.5,73.4,60,74,12.48,AU,1614457057
mackay,-21.15,149.2,80.6,83,75,16.11,AU,1614457057
jalu,29.0331,21.5482,59.92,49,0,7.49,LY,1614457057
